Model,FC Metric,accuracy_mean,accuracy_err,balanced_accuracy_mean,balanced_accuracy_err,precision_macro_mean,precision_macro_err,recall_macro_mean,recall_macro_err,f1_macro_mean,f1_macro_err,precision_micro_mean,precision_micro_err,recall_micro_mean,recall_micro_err,f1_micro_mean,f1_micro_err,jaccard_macro_mean,jaccard_macro_err,jaccard_micro_mean,jaccard_micro_err,auc_macro_mean,auc_macro_err,auc_micro_mean,auc_micro_err,hamming_loss_mean,hamming_loss_err
CNN,COH,0.21942119155354448,0.09430429864253395,0.22035454087879786,0.09857183829758132,0.21953077465926335,0.09714671451822582,0.22035454087879786,0.09857183829758132,0.2115518131031211,0.09197087834835599,0.21942119155354448,0.09430429864253395,0.21942119155354448,0.09430429864253395,0.21942119155354448,0.09430429864253395,0.12356696526200701,0.05894725042426745,0.12429081869650453,0.06175569293140244,0.5190898305145263,0.07977284757548292,0.5196074854004719,0.0753086914397968,0.7805788084464554,0.09430429864253387
CNN,iCOH,0.9456240573152338,0.06100867269984922,0.9459345178394017,0.05716295606783983,0.9465810540190803,0.060043646981673304,0.9459345178394017,0.05716295606783983,0.9432466069070405,0.06138002549186572,0.9456240573152338,0.06100867269984922,0.9456240573152338,0.06100867269984922,0.9456240573152338,0.06100867269984922,0.8977191397465624,0.10265745143487404,0.8984601526701644,0.10535670439430234,0.9895704993941424,0.021734606248581922,0.9891986863481615,0.020652586361583736,0.05437594268476621,0.06100867269984918
CNN,PDC,0.9689528657616893,0.045875942684766136,0.9686438339214964,0.04338284491050748,0.9687977355015126,0.04401995772373479,0.9686438339214964,0.04338284491050748,0.9670053947112741,0.04297667049431453,0.9689528657616893,0.045875942684766136,0.9689528657616893,0.045875942684766136,0.9689528657616893,0.045875942684766136,0.9392978420246764,0.0767790830059174,0.9407150010644119,0.08357214392155476,0.9913392613214087,0.02275648619963755,0.9911377314696327,0.023591433633001868,0.031047134238310712,0.04587594268476622
CNN,PLV,0.20681561085972852,0.08916855203619911,0.20746534395600957,0.09868877969811407,0.206992200163098,0.09792965575875784,0.20746534395600957,0.09868877969811407,0.19882131019044,0.09611264474351491,0.20681561085972852,0.08916855203619911,0.20681561085972852,0.08916855203619911,0.20681561085972852,0.08916855203619911,0.11528289996660493,0.06260174969745647,0.11641259123021254,0.05600120187323575,0.5259400570490518,0.07931382435308543,0.5267805247867797,0.07690887217080822,0.7931843891402715,0.08916855203619911
CNN,Spectral Granger,0.957289592760181,0.05344343891402714,0.956827264784579,0.056827264784579,0.9570231742818585,0.05466206317074729,0.956827264784579,0.056827264784579,0.9545912976500094,0.056467629722068535,0.957289592760181,0.05344343891402714,0.957289592760181,0.05344343891402714,0.957289592760181,0.05344343891402714,0.9176810937557455,0.0973494254240771,0.91944682079011,0.09488541728133804,0.9897673808693713,0.022339319628087995,0.9895327626322603,0.022269186691964316,0.042710407239819004,0.053443438914027155
MLP,COH,0.21553657616892913,0.09788951734539972,0.21489373827582808,0.09937060848851853,0.21313281298337025,0.0989591571380116,0.21489373827582808,0.09937060848851853,0.20556738703797525,0.09541107828754888,0.21553657616892913,0.09788951734539972,0.21553657616892913,0.09788951734539972,0.21553657616892913,0.09788951734539972,0.11976286318811381,0.06323561339550206,0.12190704017010444,0.060122558138563445,0.5195507396485036,0.08012884759232342,0.5203918676590024,0.07769675039641111,0.7844634238310709,0.09788951734539963
MLP,iCOH,0.9514517345399698,0.04949095022624428,0.9515906012288365,0.05181039940451715,0.9523897532721837,0.053912480544910935,0.9515906012288365,0.05181039940451715,0.9490290503981723,0.053310973121655114,0.9514517345399698,0.04949095022624428,0.9514517345399698,0.04949095022624428,0.9514517345399698,0.04949095022624428,0.9075794794764919,0.09242052052350813,0.9088062910056275,0.09119370899437251,0.9690960900273742,0.04186414929543336,0.9688273293697919,0.0423405196340052,0.04854826546003017,0.04949095022624434
MLP,PDC,0.694185520361991,0.10595022624434391,0.6931457512413627,0.1175803721759835,0.6935848430929237,0.11308833959642006,0.6931457512413627,0.1175803721759835,0.6818202206550712,0.11343086725484819,0.694185520361991,0.10595022624434391,0.694185520361991,0.10595022624434391,0.694185520361991,0.10595022624434391,0.5311525395082101,0.12181091370524322,0.5351616412926065,0.11849497462593978,0.8957734971986657,0.055137050786847275,0.8960005418660096,0.05348067617086272,0.30581447963800906,0.10595022624434386
MLP,PLV,0.21264064856711917,0.10108484162895925,0.21174517136973794,0.10331360318903657,0.21239387023880832,0.10617629570635759,0.21174517136973794,0.10331360318903657,0.20449215984701563,0.0977173106044315,0.21264064856711917,0.10108484162895925,0.21264064856711917,0.10108484162895925,0.21264064856711917,0.10108484162895925,0.11905498667066006,0.06533590365676276,0.12013062107574092,0.06591589055216605,0.515650049425936,0.07971632022658126,0.5163661161558254,0.07882100890303922,0.787359351432881,0.10108484162895948
MLP,Spectral Granger,0.6961112368024133,0.10787594268476619,0.696146804561108,0.10699641333210985,0.6959358443122066,0.10721678559314785,0.696146804561108,0.10699641333210985,0.6853078240334616,0.10841874841369914,0.6961112368024133,0.10787594268476619,0.6961112368024133,0.10787594268476619,0.6961112368024133,0.10787594268476619,0.5339839743675806,0.1335259438188081,0.5372812140418989,0.1348499334990847,0.8900250537770564,0.057160688016349104,0.8894800528685485,0.05425908393363721,0.30388876319758673,0.10787594268476619
